time,longitude,latitude,mag,depth
2013-01-01 03:00:00,120.33,23.25,3.0,10.0
2013-01-01 05:00:00,120.81,22.66,3.9,41.7
2013-01-02 10:00:00,121.29,22.85,3.2,18.4
2013-01-02 20:00:00,121.74,23.97,4.7,7.1
2013-01-02 20:15:00,121.89,24.44,3.7,12.7
2013-01-03 01:00:00,121.8,24.39,3.0,22.7
2013-01-03 20:00:00,121.3,22.78,4.2,18.4
2013-01-03 22:00:00,121.73,23.98,4.5,6.8
2013-01-03 22:30:00,121.74,23.98,4.3,7.0
2013-01-04 02:00:00,121.73,23.99,4.7,6.8
2013-01-04 11:15:00,122.36,24.01,4.9,24.4
2013-01-04 15:30:00,121.47,23.8,3.0,12.0
2013-01-05 04:30:00,122.43,24.35,5.0,71.4
2013-01-06 03:15:00,121.48,23.92,2.4,15.5
2013-01-06 19:15:00,121.97,24.81,3.5,7.5
2013-01-07 14:45:00,122.84,24.48,5.7,69.4
2013-01-08 13:00:00,121.04,22.82,3.9,8.8
2013-01-12 20:30:00,122.35,24.02,4.8,24.7
2013-01-13 06:45:00,119.88,22.33,3.6,42.2
2013-01-14 22:15:00,121.25,22.8,4.0,15.7
2013-01-16 01:30:00,121.69,23.05,3.9,23.6
2013-01-16 09:30:00,121.56,25.16,2.7,4.0
2013-01-16 23:45:00,121.58,23.82,3.0,24.6
2013-01-17 09:45:00,120.36,23.1,3.1,16.6
2013-01-17 13:00:00,121.29,22.85,4.3,42.6
2013-01-17 13:15:00,121.27,22.85,4.1,42.3
2013-01-17 16:30:00,121.98,24.44,5.1,13.7
2013-01-17 19:00:00,121.99,24.45,3.7,12.9
2013-01-18 01:30:00,121.98,24.45,3.1,14.0
2013-01-18 09:45:00,120.97,23.16,3.5,5.9
2013-01-18 15:00:00,120.97,23.17,3.6,6.1
2013-01-19 06:45:00,120.85,24.25,2.3,8.1
2013-01-19 08:30:00,121.97,24.41,4.2,47.7
2013-01-19 17:45:00,121.95,24.4,3.3,19.6
2013-01-20 06:00:00,121.63,24.06,3.1,9.0
2013-01-20 16:15:00,121.52,24.04,2.4,16.6
2013-01-21 03:00:00,122.52,24.7,5.6,108.2
2013-01-22 07:00:00,121.75,24.01,3.7,6.9
2013-01-26 02:15:00,121.46,23.9,2.5,17.2
2013-01-27 17:15:00,121.97,24.45,3.2,13.8
2013-01-28 00:15:00,121.96,24.45,3.3,12.5
2013-01-28 04:30:00,120.98,24.35,3.6,7.0
2013-01-28 05:00:00,120.96,23.16,3.3,4.7
2013-01-28 10:00:00,120.97,23.15,3.2,5.3
2013-01-28 23:15:00,121.74,24.18,3.1,12.2
2013-01-29 04:30:00,121.47,23.95,2.9,17.8
